340379,32513107,"Ea dolores tenetur odio.",Kołodziej,1920.29,"Wilk sp. k.",0,0,"Dicta cumque. data produkcji:2015"
932913,91931054,"Eveniet dicta et qui quasi eaque.","Jasiński S.K.A",4350.71,"Kwiatkowski sp. j.",0,0,"Voluptas earum. rok produkcji2010"
820710,48022244,"Consequatur tempore tempore voluptatem distinctio qui.",Wróbel,2546.97,"Sikorska i syn",0,0,"Officia. rok2015"
482976,41994544,"Ipsam quidem cumque ipsa.","Borkowska sp. j.",1884.57,Szulc-Wójcik,0,0,"Est repellat. rok2012"
29578,91163617,"Tempore quo sed quisquam itaque debitis.","Fundacja Malinowski",5412.31,"Wróbel sp. p.",0,0,"Et qui magni. rok:2009"
44908,58278310,"Veniam temporibus fugit et nisi et molestiae reiciendis.","Sawicki sp. p.",7580.5,Głowacki,0,0,"Veniam earum. rok produkcji2010"
183470,38227770,"Dolorum non quia rerum non. Et et cupiditate sit magnam.","Gajewski sp. j.",398.66,Duda,0,0,"Consequatur. data produkcji.2016"
949634,98633799,"Quaerat facilis similique ut quae aut dignissimos.","Spółdzielnia Jabłoński",1119.15,"Zalewski s. c.",0,0,"At temporibus. rok2010"
237938,60948102,"Ut repellat velit quam voluptatem.","Szymczak s. c.",4490.09,Górski-Nowakowska,0,0,"Rerum dolores. rok produkcji2017"
577017,22919728,"Dolores labore iusto aut enim saepe.","Pietrzak S.K.A",7749.15,"Wojciechowska sp. z o.o.",0,0,"Dolores quis. data produkcji:2016"
449944,24229249,"Ut aliquid vel vel consequatur autem vero.",Nowak-Krajewski,7561.62,"Laskowski S.A.",0,0,"Est tenetur. rok2017"
860872,08161413,"Voluptatem ut error suscipit corrupti et molestias.","Nowicka P.P.O.F",4458.8,Wójcik,0,0,"Voluptatem. data produkcji:2015"
86236,60267210,"Minima dolore laboriosam fugit voluptates dicta.","Malinowski S.A.",5924.16,Nowak-Witkowska,0,0,"Aperiam nobis. data produkcji.2010"
521664,89258435,"Iste laboriosam vitae earum quos est sunt.","Wysocka S.K.A",5546.27,"Adamczyk P.P.O.F",0,0,"Et magni et. rok produkcji.2016"
244179,02341947,"Iste quia doloribus occaecati voluptatem ut dolorem.",Jasiński,980.72,Michalska,0,0,"Dolor. rok produkcji:2010"
305997,35993447,"Qui dolor eum ratione aut.","Włodarczyk s. c.",388.6,"Górska sp. z o.o.",0,0,"At beatae. data produkcji:2017"
222946,06847209,"Laboriosam id autem architecto earum explicabo.","Fundacja Majewski",6548.79,Wójcik,0,0,"Laborum harum. data produkcji2015"
679693,38033870,"Beatae accusantium sint animi qui.","Cieślak i syn",1336.75,"Chmielewska sp. j.",0,0,"Nulla enim. data produkcji2015"
716674,46820633,"Aut dolorem error et tenetur nihil.","Zawadzka sp. p.",1407.24,"Fundacja Sokołowska",0,0,"Porro et id. rok produkcji:2009"
958688,45530867,"Repellendus aut repellat maiores aut facilis sit officiis.",Krupa,2926.43,Czerwińska,0,0,"Voluptatibus. rok:2012"
60788,98608049,"Accusamus aut voluptatibus et ea cumque et.","Grupa Duda",6550.41,"Kaźmierczak sp. k.",0,0,"Facere qui. rok produkcji2015"
873901,45436950,"Fugiat voluptas deserunt ut molestiae exercitationem eos.",Dudek-Zawadzki,875.4,"Sadowska S.K.A",0,0,"Voluptatem. data produkcji2010"
694113,65117673,"Necessitatibus vitae doloribus quasi vero.",Szymczak,7399.53,"Zalewski sp. p.",0,0,"Dolorem. data produkcji:2010"
62464,48350192,"Alias et est non ipsa sequi.","Wojciechowska sp. p.",2136.43,"Brzezińska sp. k.",0,0,"Esse. data produkcji2015"
91530,55973362,"Dolores eius qui maiores labore molestias.",Jankowski,4228.82,"Kołodziej sp. p.",0,0,"Harum minima. rok produkcji2012"
996070,03260010,"Enim autem delectus enim iusto.",Zalewska-Andrzejewska,6173.92,"Przybylski sp. z o.o.",0,0,"Earum. rok:2010"
330647,93882284,"Aliquam reprehenderit officiis perspiciatis aut.",Zalewski-Jaworski,1096.78,"Adamczyk sp. z o.o.",0,0,"Dolor quae qui. rok:2010"
674752,26225025,"Voluptates qui consequatur quaerat omnis nam qui sit.","Zieliński sp. j.",3302.43,"Witkowski sp. k.",0,0,"Voluptatem. rok produkcji.2015"
829801,15433062,"Aliquid quas aspernatur molestiae nam.","Fundacja Kaczmarczyk",4564.71,"Grupa Pawlak",0,0,"Neque iusto. data produkcji:2016"
171431,54016624,"Tempora facere quia quia rerum doloribus.",Zakrzewski,3616.46,"Lis S.A.",0,0,"Rerum aut. data produkcji2010"
327161,62659664,"Eaque tempora et ut qui sit.",Nowak-Kaczmarek,4871.83,Nowak,0,0,"Eligendi fuga. data produkcji:2015"
677898,62750167,"Velit voluptatibus et et dignissimos laboriosam.","Krajewski P.P.O.F",339.42,"Głowacka sp. p.",0,0,"Reiciendis. rok2009"
489266,47816141,"Rerum voluptatem voluptas odit natus.","Sikora P.P.O.F",7777.04,"Bąk sp. k.",0,0,"Sed qui sunt. rok produkcji.2010"
132298,27667556,"Suscipit ad quae cupiditate aliquid.","Walczak sp. z o.o.",6790.11,Dąbrowski,0,0,"Modi ducimus. rok produkcji2012"
770982,94549508,"Sed voluptas qui quia quidem optio ut nobis labore.","Tomaszewski sp. p.",4028.85,"Gajewska P.P.O.F",0,0,"Enim debitis. rok2010"
515743,96697483,"Explicabo minima commodi a ab rerum et corrupti.",Wróblewski,2141.77,"Sobczak S.A.",0,0,"Harum veniam. data produkcji2009"
273789,63581643,"Aliquid reprehenderit eveniet eveniet perferendis harum.","Spółdzielnia Konieczny",876.62,Wasilewski,0,0,"Quia aut. rok2017"
257139,33818753,"Est vel quis sit maiores. Nulla aliquid sit hic quod.","Wróbel sp. k.",5546.7,Malinowska-Michalski,0,0,"Sit voluptatum. rok produkcji2016"
736947,17911148,"Accusamus odio temporibus aut.","Szewczyk s. c.",4762.12,"Spółdzielnia Sokołowski",0,0,"Libero dolorem. rok produkcji:2012"
622568,11967163,"Accusantium ut ut qui doloribus sunt dolorum.",Kaczmarczyk-Witkowski,1961.3,"Grupa Kalinowski",0,0,"Sunt nam. data produkcji2016"
